,Name,IP,H,H2,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,WPA,aLI,RE24,GameDate,interceptRow,ageGap,ages,targets
115276,guarded01,3.1,8,8,4,4,3,0,1,5.35,19,67,39,28,1,10,3,13,4,0,25,-0.23,0.94,-2.7,1995-06-04,1.0,1970-10-02,7785,1.0
72768,guerrma02,4.0,6,6,3,2,1,3,1,4.5,20,77,53,31,5,17,10,5,3,0,42,-0.124,0.8,-0.8,2004-06-17,1.0,1978-08-02,8165,1.0
13482,guthrje01,6.2,7,7,5,5,1,7,2,3.28,29,115,76,45,11,20,8,12,5,0,46,-0.218,0.76,-1.7,2008-08-23,1.0,1979-04-08,9270,1.0
99213,guthrma01,4.0,10,10,7,7,1,1,1,13.5,23,77,47,34,3,10,6,14,9,0,14,-0.433,1.1,-5.1,1994-04-11,1.0,1965-09-22,9009,1.0
88435,guzmaan01,5.1,9,9,4,4,1,6,1,3.57,24,74,54,27,8,19,7,10,4,0,39,-0.107,0.8,-0.4,2007-05-12,1.0,1981-12-14,8017,1.0
63516,guzmaju01,2.1,5,5,5,4,0,1,0,3.74,12,40,26,20,1,5,6,5,3,0,30,-0.315,1.29,-3.3,1999-10-02,1.0,1966-10-28,10391,1.0
38340,hackmlu01,5.0,7,7,7,7,6,3,1,9.69,27,94,56,32,11,13,4,14,6,0,22,-0.298,0.75,-3.5,1999-09-22,1.0,1974-10-10,7873,1.0
17029,hallaro01,6.0,7,7,5,5,5,3,0,4.02,27,98,63,39,3,21,11,8,5,0,36,-0.19,1.26,-1.4,2004-05-21,1.0,1977-05-14,8526,1.0
121051,hallaro01,6.0,12,12,5,5,1,2,0,4.03,29,96,63,37,8,18,15,11,6,0,29,-0.197,1.1,-1.5,2004-07-09,1.0,1977-05-14,8569,1.0
17231,hallaro01,8.0,5,5,1,1,2,6,0,2.33,30,101,67,42,7,18,14,8,2,0,72,0.464,1.49,3.4,2005-07-03,1.0,1977-05-14,8879,1.0
117192,hallaro01,5.1,12,12,9,9,2,3,0,3.59,29,99,65,43,6,16,14,10,7,0,9,-0.354,0.6,-4.6,2007-05-05,1.0,1977-05-14,9459,1.0
31297,hamelco01,5.0,1,1,0,0,5,7,0,0.0,21,92,51,26,10,15,4,5,0,0,67,0.297,1.08,2.8,2006-05-12,1.0,1983-12-27,7060,1.0
88518,hamelco01,7.0,5,5,4,4,2,2,1,3.64,29,102,73,47,11,15,13,12,1,0,51,0.117,0.9,-0.2,2007-08-10,1.0,1983-12-27,7453,1.0
112691,hammeja01,3.1,8,8,7,7,1,3,1,18.9,19,73,45,27,4,14,5,10,3,0,18,-0.386,0.93,-5.3,2006-04-11,1.0,1982-09-02,7449,1.0
49606,hammoch01,4.1,7,7,3,3,4,2,1,3.48,23,83,43,25,7,11,9,7,2,0,35,-0.114,1.06,-1.4,1998-05-12,1.0,1966-01-21,10194,1.0
8651,hamptmi01,9.0,2,2,0,0,1,3,0,2.05,28,98,63,38,9,16,13,11,0,0,85,0.166,0.26,4.6,2005-05-08,1.0,1972-09-09,10306,1.0
59301,hamptmi01,2.1,1,1,0,0,2,2,0,1.96,9,40,22,8,4,10,5,0,0,0,55,0.132,1.33,1.2,2005-05-14,1.0,1972-09-09,10311,1.0
8727,hamptmi01,5.0,9,9,3,3,1,0,0,2.73,23,77,50,33,4,13,14,8,3,0,36,-0.142,0.96,-0.4,2005-08-14,1.0,1972-09-09,10391,1.0
8600,hancojo01,5.2,3,3,5,4,5,2,1,5.5,25,90,49,25,6,18,8,10,1,0,42,-0.222,1.04,-2.2,2004-09-22,1.0,1978-04-11,8347,1.0
30986,haranaa01,4.1,9,9,5,5,2,2,0,5.27,25,89,61,38,9,14,6,14,8,0,25,-0.301,1.4,-2.2,2004-05-27,1.0,1978-05-09,8220,1.0
31664,haranaa01,7.0,7,7,3,3,1,8,1,4.47,29,104,74,42,10,22,9,11,6,0,58,-0.011,1.07,0.6,2008-06-30,1.0,1978-05-09,9512,1.0
75268,harderi01,7.0,5,5,2,2,4,6,1,1.94,30,107,58,33,11,14,11,8,2,0,61,0.064,1.05,1.6,2005-05-08,1.0,1981-11-30,7395,1.0
83974,harderi01,8.0,5,5,3,3,2,2,1,3.58,31,111,71,44,11,16,14,13,2,0,60,0.126,1.08,1.3,2006-04-21,1.0,1981-11-30,7696,1.0
84118,harderi01,6.0,5,5,2,2,2,6,2,1.38,24,102,68,42,14,12,5,11,1,0,58,0.068,1.09,1.1,2007-04-09,1.0,1981-11-30,8001,1.0
84128,harderi01,6.0,5,5,1,1,2,7,0,1.42,22,93,56,33,13,10,6,7,2,0,63,0.25,1.27,2.5,2007-04-15,1.0,1981-11-30,8006,1.0
84282,harderi01,6.0,3,3,1,1,3,9,1,1.5,23,95,60,27,18,15,3,8,2,0,68,0.217,0.75,2.0,2008-03-26,1.0,1981-11-30,8305,1.0
30472,harnipe01,5.0,9,9,6,5,3,0,4,6.53,28,86,53,38,4,11,10,14,5,0,24,-0.338,0.53,-3.2,2001-05-02,1.0,1966-09-23,10920,1.0
112180,harpetr01,3.0,8,8,7,7,2,0,0,5.05,20,68,37,26,4,7,4,13,7,0,13,-0.421,0.81,-5.4,2002-09-06,1.0,1976-05-21,8297,1.0
161,hasegsh01,5.0,7,7,5,5,3,4,0,3.93,25,96,51,34,6,11,3,15,8,0,34,-0.169,0.87,-1.7,1997-09-27,1.0,1968-08-01,9200,1.0
67801,hawkila01,1.0,5,5,5,4,1,0,0,6.68,9,20,10,10,0,0,2,6,3,0,24,-0.284,0.98,-3.8,1999-09-25,1.0,1972-12-21,8444,1.0
30571,hayneji01,6.1,5,5,0,0,4,4,0,4.49,26,94,55,31,9,15,6,12,5,0,63,0.326,1.23,2.9,2001-08-18,1.0,1972-09-05,9135,1.0
